point_id,lat,lon,population,weight,elevation_m
TNP_0122,11.625,78.625,282878.4148208797,0.0039715181952267,496.6108078606099
TNP_0123,9.625,78.125,281565.6825658679,0.0039530878740602,140.7406043507467
TNP_0124,9.125,77.625,276426.1651992798,0.0038809307716916,385.1741488078243
TNP_0125,8.125,77.625,272677.4193781018,0.0038282996359879,127.22020301593817
TNP_0126,11.125,78.375,267273.30917078257,0.0037524277387596,246.97193079759654
TNP_0127,11.375,78.375,266237.5408079326,0.0037378858978712,367.59798556655437
TNP_0128,10.625,77.625,263581.3604952693,0.0037005940159571,286.9404247532287
TNP_0129,9.875,78.625,262651.0341567993,0.0036875325457736,112.2247981121229
TNP_0130,9.625,77.625,259478.05903168023,0.0036429850377908,488.32641028345563
TNP_0131,12.125,78.875,247235.19139759245,0.0034710992769019,384.9976901037816
TNP_0132,11.125,79.875,246425.969114542,0.0034597380670932,-0.026438931107972654
TNP_0133,8.375,77.625,243750.0673230141,0.0034221693022215,259.7904805826914
