point_id,lat,lon,population,cluster_id,max_membership_prob,prob_cluster0,prob_cluster1,prob_cluster2,prob_cluster3,prob_cluster4
TNP_0080,10.375,79.375,365971.6754934192,2,1.0,0.0,3.97907549511621e-30,1.0,0.0,7.60315725561814e-26
TNP_0081,10.625,79.125,361159.2509186268,2,1.0,0.0,2.9296889849056514e-28,1.0,0.0,8.61811098024793e-26
TNP_0082,12.625,78.125,360799.10471487045,1,0.9999999999999751,0.0,0.9999999999999751,0.0,1.6887366785807843e-67,2.444317072261428e-14
TNP_0083,12.375,79.875,359551.7668402195,2,1.0,0.0,9.542343810201392e-47,1.0,0.0,9.238119382529318e-35
TNP_0084,12.875,78.625,356433.593002066,1,0.9999999999999947,0.0,0.9999999999999947,0.0,2.5202231023710313e-61,4.458807959220607e-15
TNP_0085,12.625,79.125,355228.05595360696,2,1.0,0.0,4.75163678331883e-33,1.0,0.0,4.68244553808292e-37
TNP_0086,13.125,79.375,353338.442471683,0,1.0,1.0,7.896155024337471e-51,0.0,0.0,1.8723257041047273e-28
TNP_0087,9.375,78.875,353010.24430310726,3,1.0,0.0,3.2737518944495657e-63,0.0,1.0,4.7746360716116625e-28
TNP_0088,10.125,78.875,350070.71990942955,3,1.0,0.0,1.9954000682616528e-50,0.0,1.0,6.3311884456649646e-34
TNP_0089,11.375,77.125,348400.17650821805,1,0.9999574257483607,0.0,0.9999574257483607,0.0,0.0,4.2574251637776584e-05
TNP_0090,12.375,79.375,345564.8446456194,2,1.0,0.0,1.0140325071292997e-33,1.0,0.0,3.642484187924165e-37
TNP_0091,11.875,78.125,338277.50642474,1,1.0,0.0,1.0,0.0,0.0,3.9323053959305785e-17
TNP_0092,11.875,79.875,331753.007565856,2,1.0,0.0,1.2946127531465623e-55,1.0,0.0,2.9075543012682587e-28
TNP_0093,10.875,78.375,331288.6401773691,3,1.0,0.0,4.6472651762490505e-52,0.0,1.0,1.6786541218532507e-35
TNP_0094,11.375,76.875,329277.33425694704,4,1.0,0.0,4.2807832192843635e-240,0.0,0.0,1.0
TNP_0095,8.625,78.125,328577.7085413933,3,1.0,0.0,5.638240806344807e-122,0.0,1.0,5.2052843457451785e-30
TNP_0096,9.875,77.875,321388.47564196587,4,1.0,0.0,7.1169578643118416e-99,0.0,9.387007321913959e-247,1.0
TNP_0097,12.125,79.875,320211.4485657811,2,1.0,0.0,2.0097501514029524e-57,1.0,0.0,1.3147936421686415e-32
TNP_0098,10.125,78.125,317831.9035288989,3,1.0,0.0,1.7399068873665683e-42,0.0,1.0,1.293142636188026e-26
TNP_0099,10.125,78.375,316057.0736576021,3,1.0,0.0,4.846447513539693e-44,0.0,1.0,4.2445329702099414e-29
TNP_0100,11.375,79.375,315788.482935071,2,1.0,0.0,2.082298132289531e-36,1.0,0.0,1.2690358220162394e-36
TNP_0101,11.625,79.125,312785.2295117378,2,1.0,0.0,1.7747429111816449e-34,1.0,0.0,7.137753209468646e-36
TNP_0102,10.625,78.625,311437.63846439123,3,1.0,0.0,2.7606304882452173e-52,0.0,1.0,1.1283639021898708e-35
TNP_0103,11.125,78.625,309087.12795975804,1,1.0,0.0,1.0,0.0,0.0,5.630234879256439e-17
TNP_0104,10.375,79.125,307193.6989862919,2,1.0,0.0,1.5823795178530847e-29,1.0,0.0,9.088094640228892e-27
TNP_0105,11.125,78.875,305830.6020783186,1,1.0,0.0,1.0,0.0,0.0,4.453496626498382e-17
TNP_0106,12.375,79.625,305810.3294095993,2,1.0,0.0,6.259016773273501e-34,1.0,0.0,2.0609744130427977e-37
TNP_0107,10.625,76.875,305741.92967784405,4,1.0,0.0,1.1602325827074535e-119,0.0,0.0,1.0
TNP_0108,10.625,78.375,305614.69948893785,3,1.0,0.0,1.9395984954958264e-52,0.0,1.0,4.484061618431491e-35
TNP_0109,11.875,78.875,301935.04241657257,1,0.9999999999999999,0.0,0.9999999999999999,0.0,0.0,6.374035252259523e-17
TNP_0110,12.375,78.875,301079.89815589786,1,0.999999999999817,0.0,0.999999999999817,0.0,1.3316912049231941e-62,1.8314734236793845e-13
TNP_0111,11.375,79.125,300073.306358099,2,1.0,0.0,1.13191049525874e-34,1.0,0.0,6.044823472322759e-36
TNP_0112,11.125,77.625,294728.81712269783,1,0.9999999999999996,0.0,0.9999999999999996,0.0,0.0,5.853706777985761e-16
TNP_0113,10.375,78.375,292314.1716660261,3,1.0,0.0,6.7348433408572574e-49,0.0,1.0,3.337999595472955e-34
TNP_0114,11.625,77.625,292060.09904256463,1,0.9999999999999414,0.0,0.9999999999999414,0.0,0.0,5.818133335679142e-14
TNP_0115,11.125,79.125,291553.82602107525,2,1.0,0.0,1.6107610294533745e-35,1.0,0.0,7.887756101278762e-36
TNP_0116,10.125,79.125,291410.35054147243,2,1.0,0.0,4.568470545993375e-44,1.0,0.0,6.926973814375996e-22
TNP_0117,10.625,78.875,287637.03817653656,3,1.0,0.0,2.4414043008177416e-51,0.0,1.0,6.949060813867465e-36
TNP_0118,10.125,78.625,285961.020146966,3,1.0,0.0,1.6913149987316275e-49,0.0,1.0,3.6298286044211794e-33
TNP_0119,9.125,77.875,284674.2646612525,4,1.0,0.0,2.973056661270549e-107,0.0,6.212826127018023e-246,1.0
TNP_0120,9.625,78.625,283261.0585422516,3,1.0,0.0,2.504890840328e-60,0.0,1.0,1.1991958366533014e-28
