product,manufacturer,pcm_type,Tm_melting,Tm_melting_imputed,Tm_melting_original_text,Tm_freezing,Tm_freezing_imputed,Tm_freezing_original_text,Tm_nucleation,Tm_nucleation_imputed,Tm_nucleation_original_text,latent_heat_melting,latent_heat_melting_imputed,latent_heat_melting_original_text,latent_heat_freezing,latent_heat_freezing_imputed,latent_heat_freezing_original_text,heat_storage_Wh_kg,heat_storage_Wh_kg_imputed,heat_storage_Wh_kg_original_text,density_liquid,density_liquid_imputed,density_liquid_original_text,density_solid,density_solid_imputed,density_solid_original_text,Cp_liquid,Cp_liquid_imputed,Cp_liquid_original_text,Cp_solid,Cp_solid_imputed,Cp_solid_original_text,TC_liquid,TC_liquid_imputed,TC_liquid_original_text,TC_solid,TC_solid_imputed,TC_solid_original_text,TC_both,TC_both_imputed,TC_both_original_text,volume_expansion,volume_expansion_imputed,volume_expansion_original_text,max_op_temp,max_op_temp_imputed,max_op_temp_original_text,flash_point,flash_point_imputed,flash_point_original_text,cycles_tested,cycles_tested_imputed,cycles_tested_original_text,cycles_tested_status,flammability,flammability_imputed,appearance,appearance_imputed
PureTemp 53,PureTemp,Organic bio-based PCM,53.0,False,53.0,51.1,True,Not reported by manufacturer,51.1,True,Not reported by manufacturer,225.0,False,225.0,202.0,True,Not reported by manufacturer,52.0,True,Not reported by manufacturer,840.0,False,840.0,920.0,False,920.0,2.6,False,2.6,2.36,False,2.36,0.15,False,0.15,0.25,False,0.25,0.301,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,199.0,True,Not reported by manufacturer,1686.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White color waxy solid @25°C,True
RT54HC,Rubitherm Technologies,Organic (RT-line),53.5,False,53-54,53.5,False,54-53,53.5,True,Not reported by manufacturer,200.0,False,200.0,203.0,True,Not reported by manufacturer,56.0,False,56.0,800.0,False,800.0,850.0,False,850.0,2.0,False,2.0,2.0,False,2.0,0.172,True,Not reported by manufacturer,0.199,True,Not reported by manufacturer,0.2,False,0.2,12.5,True,Not reported by manufacturer,85.0,False,85.0,190.0,True,Not reported by manufacturer,1474.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
RT55,Rubitherm Technologies,Organic (RT-line),54.0,False,51-57,56.5,False,57-56,56.5,True,Not reported by manufacturer,170.0,False,170.0,183.0,True,Not reported by manufacturer,48.0,False,48.0,770.0,False,770.0,880.0,False,880.0,2.0,False,2.0,2.0,False,2.0,0.147,True,Not reported by manufacturer,0.197,True,Not reported by manufacturer,0.2,False,0.2,14.0,False,14.0,90.0,False,90.0,200.0,False,>200,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
n-Pentacosane (C25),Literature,Organic n-alkane,54.0,False,54,50.6,True,Not reported by manufacturer,50.6,True,Not reported by manufacturer,238.0,False,238.0,250.0,True,Not reported by manufacturer,64.0,True,Not reported by manufacturer,801.0,False,801.0,801.0,False,801.0,2.39,True,Not reported by manufacturer,2.05,True,Not reported by manufacturer,0.173,True,Not reported by manufacturer,0.305,True,Not reported by manufacturer,0.209,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,88.0,True,Not reported by manufacturer,170.0,True,Not reported by manufacturer,1404.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
Myristic acid/NBR-1.0,Literature,Organic/polymer blend,54.1,False,54.14,49.2,False,49.25,49.2,True,Not reported by manufacturer,128.0,False,127.51,125.0,False,124.75,46.0,True,Not reported by manufacturer,778.0,True,Not reported by manufacturer,860.0,True,Not reported by manufacturer,2.77,True,Not reported by manufacturer,2.89,True,Not reported by manufacturer,0.138,True,Not reported by manufacturer,0.171,True,Not reported by manufacturer,0.462,True,Not reported by manufacturer,12.9,True,Not reported by manufacturer,87.0,True,Not reported by manufacturer,200.0,True,Not reported by manufacturer,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White solid @25 °C,True
Myristic acid/NBR-0.5,Literature,Organic/polymer blend,54.6,False,54.6,50.5,False,50.51,50.5,True,Not reported by manufacturer,142.0,False,142.3,139.0,False,139.47,46.0,True,Not reported by manufacturer,778.0,True,Not reported by manufacturer,865.0,True,Not reported by manufacturer,2.77,True,Not reported by manufacturer,2.93,True,Not reported by manufacturer,0.138,True,Not reported by manufacturer,0.176,True,Not reported by manufacturer,0.462,True,Not reported by manufacturer,12.9,True,Not reported by manufacturer,89.0,True,Not reported by manufacturer,200.0,True,Not reported by manufacturer,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
savE® OM55,Pluss Advanced Technologies,Organic,55.0,False,55,54.0,False,54,54.0,True,Not reported by manufacturer,188.0,False,188.0,194.0,False,194.0,48.0,True,Not reported by manufacturer,841.0,False,841.0,935.0,False,935.0,2.76,False,2.76,2.68,False,2.68,0.1,False,0.1,0.16,False,0.16,0.429,True,Not reported by manufacturer,13.9,True,Not reported by manufacturer,90.0,False,90.0,200.0,False,200,2000.0,False,~2000,Reported by manufacturer,Yes,False,White solid @25 °C,False
Palmitic-stearic acid/Expanded graphite,Literature,Organic/eutectic composite,55.2,False,55.18,54.9,False,54.91,54.9,True,Not reported by manufacturer,176.0,False,176.2,176.0,False,175.6,48.0,True,Not reported by manufacturer,777.0,True,Not reported by manufacturer,856.0,True,Not reported by manufacturer,2.83,True,Not reported by manufacturer,3.24,True,Not reported by manufacturer,0.139,True,Not reported by manufacturer,0.181,True,Not reported by manufacturer,0.452,True,Not reported by manufacturer,13.8,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,200.0,True,Not reported by manufacturer,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White solid @25 °C,True
RT57HC,Rubitherm Technologies,Organic (RT-line),56.5,False,55-58,56.5,False,58-55,56.5,True,Not reported by manufacturer,240.0,False,240.0,250.0,True,Not reported by manufacturer,67.0,False,67.0,800.0,False,800.0,900.0,False,900.0,2.0,False,2.0,2.0,False,2.0,0.174,True,Not reported by manufacturer,0.304,True,Not reported by manufacturer,0.2,False,0.2,12.5,True,Not reported by manufacturer,90.0,False,90.0,170.0,False,170,1404.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
n-Hexacosane (C26),Literature,Organic n-alkane,56.5,False,56.5,56.2,True,Not reported by manufacturer,56.2,True,Not reported by manufacturer,256.0,False,256.0,233.0,True,Not reported by manufacturer,71.0,True,Not reported by manufacturer,770.0,False,770.0,770.0,False,770.0,2.38,True,Not reported by manufacturer,2.2,True,Not reported by manufacturer,0.177,True,Not reported by manufacturer,0.299,True,Not reported by manufacturer,0.21,False,0.21,12.5,True,Not reported by manufacturer,86.0,True,Not reported by manufacturer,192.0,True,Not reported by manufacturer,1404.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
PlusICE A58,PCM Products Ltd.,Organic PCM,58.0,False,58.0,58.2,True,Not reported by manufacturer,58.2,True,Not reported by manufacturer,215.0,False,215.0,232.0,True,Not reported by manufacturer,64.0,True,Not reported by manufacturer,910.0,False,910.0,910.0,False,910.0,2.22,False,2.22,2.22,False,2.22,0.22,False,0.22,0.22,False,0.22,0.203,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,98.0,True,Not reported by manufacturer,193.0,True,Not reported by manufacturer,1581.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
PureTemp 58,PureTemp,Organic bio-based PCM,58.0,False,58.0,58.1,True,Not reported by manufacturer,58.1,True,Not reported by manufacturer,225.0,False,225.0,210.0,True,Not reported by manufacturer,54.0,True,Not reported by manufacturer,810.0,False,810.0,890.0,False,890.0,2.71,False,2.71,2.47,False,2.47,0.15,False,0.15,0.25,False,0.25,0.21,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,193.0,True,Not reported by manufacturer,1620.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White color waxy solid @25°C,True
RT60,Rubitherm Technologies,Organic (RT-line),58.0,False,55-61,58.0,False,61-55,58.0,True,Not reported by manufacturer,160.0,False,160.0,175.0,True,Not reported by manufacturer,46.0,False,46.0,770.0,False,770.0,880.0,False,880.0,2.0,False,2.0,2.0,False,2.0,0.147,True,Not reported by manufacturer,0.192,True,Not reported by manufacturer,0.2,False,0.2,12.5,False,12.5,80.0,False,80.0,200.0,False,>200,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
n-Heptacosane (C27),Literature,Organic n-alkane,59.0,False,59,59.7,True,Not reported by manufacturer,59.7,True,Not reported by manufacturer,236.0,False,236.0,241.0,True,Not reported by manufacturer,67.0,True,Not reported by manufacturer,773.0,False,773.0,773.0,False,773.0,2.38,True,Not reported by manufacturer,2.2,True,Not reported by manufacturer,0.18,True,Not reported by manufacturer,0.303,True,Not reported by manufacturer,0.21,False,0.21,12.5,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,195.0,True,Not reported by manufacturer,1404.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
CrodaTherm 60,CrodaTherm,Organic PCM,59.8,False,59.8,61.5,True,Not reported by manufacturer,61.5,True,Not reported by manufacturer,217.0,False,217.0,242.0,True,Not reported by manufacturer,64.0,True,Not reported by manufacturer,824.0,False,824.0,922.0,False,922.0,2.3,False,2.3,1.4,False,1.4,0.17,False,0.17,0.29,False,0.29,0.2,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,193.0,True,Not reported by manufacturer,1533.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White flakes at 25 °C,True
Palmitic acid/Expanded graphite (80/20),Literature,Organic/composite blend,60.9,False,60.88,60.8,False,60.81,60.8,True,Not reported by manufacturer,148.0,False,148.36,150.0,False,149.66,46.0,True,Not reported by manufacturer,778.0,True,Not reported by manufacturer,860.0,True,Not reported by manufacturer,2.78,True,Not reported by manufacturer,2.94,True,Not reported by manufacturer,0.138,True,Not reported by manufacturer,0.191,True,Not reported by manufacturer,0.6,False,0.6,13.0,True,Not reported by manufacturer,89.0,True,Not reported by manufacturer,200.0,True,Not reported by manufacturer,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
PureTemp 60,PureTemp,Organic bio-based PCM,61.0,False,61.0,61.5,True,Not reported by manufacturer,61.5,True,Not reported by manufacturer,220.0,False,220.0,202.0,True,Not reported by manufacturer,52.0,True,Not reported by manufacturer,870.0,False,870.0,960.0,False,960.0,2.38,False,2.38,2.04,False,2.04,0.15,False,0.15,0.25,False,0.25,0.208,True,Not reported by manufacturer,12.8,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,202.0,True,Not reported by manufacturer,1695.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
RT65,Rubitherm Technologies,Organic (RT-line),61.5,False,58-65,61.5,False,65-58,61.5,True,Not reported by manufacturer,150.0,False,150.0,168.0,True,Not reported by manufacturer,42.0,False,42.0,780.0,False,780.0,880.0,False,880.0,2.0,False,2.0,2.0,False,2.0,0.147,True,Not reported by manufacturer,0.183,True,Not reported by manufacturer,0.2,False,0.2,12.5,True,Not reported by manufacturer,85.0,False,85.0,200.0,False,>200,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
n-Octacosane (C28),Literature,Organic n-alkane,61.6,False,61.6,62.3,True,Not reported by manufacturer,62.3,True,Not reported by manufacturer,253.0,False,253.0,244.0,True,Not reported by manufacturer,68.0,True,Not reported by manufacturer,910.0,False,910.0,910.0,False,910.0,2.38,True,Not reported by manufacturer,2.05,True,Not reported by manufacturer,0.226,True,Not reported by manufacturer,0.307,True,Not reported by manufacturer,0.209,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,98.0,True,Not reported by manufacturer,170.0,True,Not reported by manufacturer,1581.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White flakes at 25 °C,True
