timestamp,year,month,var_type,status,filepath,size_mb,note
2026-08-03 02:53:02,2017,07,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2017_07_accum.nc,1.27,
2026-08-03 02:55:07,2017,08,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2017_08_instant.nc,1.93,
2026-08-03 02:58:09,2017,08,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2017_08_accum.nc,1.32,
2026-08-03 03:01:11,2017,09,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2017_09_instant.nc,1.92,
2026-08-03 03:04:11,2017,09,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2017_09_accum.nc,1.28,
2026-08-03 03:07:12,2017,10,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2017_10_instant.nc,1.97,
2026-08-03 03:11:39,2017,10,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2017_10_accum.nc,1.31,
2026-08-03 03:14:42,2017,11,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2017_11_instant.nc,1.90,
2026-08-03 03:19:09,2017,11,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2017_11_accum.nc,1.26,
2026-08-03 03:22:10,2017,12,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2017_12_instant.nc,2.03,
2026-08-03 03:25:11,2017,12,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2017_12_accum.nc,1.19,
2026-08-03 03:28:13,2018,01,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_01_instant.nc,2.04,
2026-08-03 03:32:42,2018,01,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_01_accum.nc,1.09,
2026-08-03 03:35:50,2018,02,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_02_instant.nc,1.83,
2026-08-03 03:38:52,2018,02,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_02_accum.nc,1.00,
2026-08-03 03:41:58,2018,03,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_03_instant.nc,2.03,
2026-08-03 03:46:32,2018,03,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_03_accum.nc,1.16,
2026-08-03 03:48:38,2018,04,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_04_instant.nc,2.00,
2026-08-03 03:51:37,2018,04,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_04_accum.nc,1.21,
2026-08-03 03:54:41,2018,05,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_05_instant.nc,2.02,
2026-08-03 03:59:09,2018,05,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_05_accum.nc,1.32,
2026-08-03 04:02:12,2018,06,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_06_instant.nc,1.90,
2026-08-03 04:06:40,2018,06,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_06_accum.nc,1.29,
2026-08-03 04:09:42,2018,07,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_07_instant.nc,1.94,
2026-08-03 04:12:42,2018,07,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_07_accum.nc,1.30,
2026-08-03 04:15:43,2018,08,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_08_instant.nc,1.95,
2026-08-03 04:18:44,2018,08,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_08_accum.nc,1.27,
2026-08-03 04:21:46,2018,09,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_09_instant.nc,1.95,
2026-08-03 04:24:51,2018,09,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_09_accum.nc,1.21,
2026-08-03 04:27:55,2018,10,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_10_instant.nc,1.98,
2026-08-03 04:32:28,2018,10,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_10_accum.nc,1.31,
2026-08-03 04:35:31,2018,11,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_11_instant.nc,1.92,
