point_id,season,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2
TNP_0015,Retreat,2,1.0,3,0.8095120734108758,50,2.7309125443017846e-28,4.474967007507809e-71,1.0
TNP_0016,Winter,2,0.9999999999999964,3,0.8095120734108758,50,4.583406086475165e-15,7.071259908582053e-55,0.9999999999999964
TNP_0016,Summer,1,1.0,3,0.8095120734108758,50,1.1972663602515941e-58,1.0,3.2192450091279964e-24
TNP_0016,Monsoon,1,1.0,3,0.8095120734108758,50,3.817965170433042e-37,1.0,2.3090209638135646e-24
TNP_0016,Retreat,0,0.999999999970453,3,0.8095120734108758,50,0.999999999970453,1.8962418003857079e-22,2.9547154058816764e-11
TNP_0017,Winter,2,1.0,3,0.8095120734108758,50,4.010877430950932e-266,7.179382535834753e-226,1.0
TNP_0017,Summer,2,1.0,3,0.8095120734108758,50,2.0970166431795785e-105,1.3512913675238584e-100,1.0
TNP_0017,Monsoon,2,1.0,3,0.8095120734108758,50,1.2422027363566195e-152,1.1449458265282127e-173,1.0
TNP_0017,Retreat,2,1.0,3,0.8095120734108758,50,2.023032164249317e-167,2.0833261034580003e-189,1.0
TNP_0018,Winter,2,1.0,3,0.8095120734108758,50,5.67747218840797e-52,3.8741777759134476e-64,1.0
TNP_0018,Summer,1,0.9999999999999396,3,0.8095120734108758,50,1.8862894783877733e-39,0.9999999999999396,5.866767532746669e-14
TNP_0018,Monsoon,2,0.9999999999970761,3,0.8095120734108758,50,2.924881852000827e-12,1.7313016142736653e-48,0.9999999999970761
TNP_0018,Retreat,2,0.999999999995147,3,0.8095120734108758,50,4.853587644394215e-12,2.9837100918171406e-51,0.999999999995147
TNP_0019,Winter,2,1.0,3,0.8095120734108758,50,1.9652294412072914e-23,2.6391390737555666e-36,1.0
TNP_0019,Summer,1,1.0,3,0.8095120734108758,50,3.93256806169575e-83,1.0,1.4084457139802212e-30
TNP_0019,Monsoon,0,0.9999999998622595,3,0.8095120734108758,50,0.9999999998622595,1.0835763125952637e-11,1.2690460657740532e-10
TNP_0019,Retreat,0,0.9999999869737222,3,0.8095120734108758,50,0.9999999869737222,9.00115317594998e-28,1.3026277911661779e-08
TNP_0020,Winter,2,1.0,3,0.8095120734108758,50,3.914078542264948e-37,9.302007946256834e-64,1.0
TNP_0020,Summer,1,1.0,3,0.8095120734108758,50,7.468745326844932e-85,1.0,1.1319682084241292e-28
TNP_0020,Monsoon,1,1.0,3,0.8095120734108758,50,1.052568109231979e-23,1.0,2.78867669629818e-21
TNP_0020,Retreat,0,0.9999999995131716,3,0.8095120734108758,50,0.9999999995131716,2.5470409410835285e-25,4.868282297792015e-10
TNP_0021,Winter,2,1.0,3,0.8095120734108758,50,6.465967831953126e-19,2.9286263970463076e-58,1.0
TNP_0021,Summer,1,1.0,3,0.8095120734108758,50,3.957572992841295e-58,1.0,2.8741702064821705e-23
TNP_0021,Monsoon,1,1.0,3,0.8095120734108758,50,6.091776307173917e-32,1.0,8.314096572973715e-23
TNP_0021,Retreat,0,0.9999999999030313,3,0.8095120734108758,50,0.9999999999030313,8.26393828498881e-25,9.69687756896406e-11
TNP_0022,Winter,2,1.0,3,0.8095120734108758,50,2.4770767112138322e-33,2.018141330699462e-62,1.0
TNP_0022,Summer,1,1.0,3,0.8095120734108758,50,7.368111121379071e-79,1.0,1.297206235211938e-27
TNP_0022,Monsoon,1,1.0,3,0.8095120734108758,50,8.35733294867698e-27,1.0,4.1526070705742177e-22
TNP_0022,Retreat,0,0.9999999998473017,3,0.8095120734108758,50,0.9999999998473017,1.087579797476691e-24,1.5269821487050677e-10
TNP_0023,Winter,2,1.0,3,0.8095120734108758,50,1.1363857921193172e-34,2.2998590409514815e-51,1.0
TNP_0023,Summer,1,0.9999999999999751,3,0.8095120734108758,50,6.262999210622097e-36,0.9999999999999751,2.3631880924555314e-14
