point_id,n_days_used,GHI_daily_kWh_mean,kt_daily_mean,kt_daily_std,SAI_true,cloudy_frac_true,CCI_true,DTR_true_mean,Ta_mean_true,Ta_p95_true,Ta_p05_true,HDD18_true,CDD24_true,RH_mean_true,wind_mean_true,seasonality_true
TNP_0016,3653,5.277478562825075,0.8210631387609231,0.16792823215551866,0.8256301162131793,0.021352313167259787,4,9.208935121817683,28.26244547860206,32.37016666666666,23.75558333333333,0.0,15750.032083333334,72.22538484350761,3.8776518158591116,0.15734991157482686
TNP_0017,3653,5.012855891048453,0.7618929398045098,0.16665547898766161,0.7613838263984049,0.009854913769504517,5,9.994626334519571,24.741274637284423,29.312833333333334,21.62625,0.0,4459.810416666666,76.22562870699882,3.120942376129208,0.16025589283703395
TNP_0018,3653,5.2474154393649055,0.8022058832765958,0.14671903742785972,0.8050014795750728,0.008212428141253765,2,9.994626334519571,24.741274637284423,29.312833333333334,21.62625,0.0,4459.810416666666,76.22562870699882,3.120942376129208,0.13606537918234454
TNP_0019,3653,5.290631888858473,0.8089440468960872,0.14907934421609556,0.8116570034534867,0.006569942513003011,2,12.076693128935123,27.182288073729353,31.933749999999993,22.885166666666667,0.0,12104.44625,67.48547506615567,3.124713591568574,0.14174601690481323
TNP_0020,3653,5.281575272378868,0.8205200973744438,0.1677403520682583,0.824761992919618,0.022447303586093623,4,11.189364905557076,27.045131741034762,32.30525,21.788666666666668,0.0,12227.740833333333,71.67821425312529,3.271348092891687,0.16259373296505963
TNP_0021,3653,5.277478562825075,0.8210631387609231,0.16792823215551866,0.8256301162131793,0.021352313167259787,4,9.545091705447577,28.179268181403412,32.50475,23.6905,0.0,15466.175416666665,71.95807372935488,3.696800802992974,0.15734991157482686
TNP_0022,3653,5.281575272378868,0.8205200973744438,0.1677403520682583,0.824761992919618,0.022447303586093623,4,7.662775800711744,27.997140250022806,31.854916666666668,23.91175,0.0,14722.94,73.72707340998265,3.8631244867232413,0.16259373296505963
TNP_0023,3653,5.194127648508076,0.7908687591493785,0.15076340158732163,0.7930134539444403,0.012318642211880646,3,8.5837092800438,26.230841887945978,29.97808333333333,23.464666666666666,0.0,8454.959166666666,78.5656332694589,4.062922141618761,0.11500782189202417
TNP_0024,3653,5.2999541910758285,0.8187838002155088,0.1624970902480756,0.8235388739963944,0.02025732274842595,4,9.208935121817683,28.26244547860206,32.37016666666666,23.75558333333333,0.0,15750.032083333334,72.22538484350761,3.8776518158591116,0.15546597960534483
TNP_0025,3653,5.186786947714207,0.8082411659864758,0.1763708163766422,0.8117909718476327,0.024089789214344376,5,7.662775800711744,27.997140250022806,31.854916666666668,23.91175,0.0,14722.94,73.72707340998265,3.8631244867232413,0.17381540349170738
TNP_0026,3653,5.295295067068163,0.8128717773695653,0.16108923050048635,0.815700428727697,0.012866137421297564,3,11.609230769230768,25.4283021945433,30.606333333333332,20.479333333333336,0.11625000000000085,7553.04375,70.45503695592663,3.6209366730541106,0.15782157278431747
TNP_0027,3653,5.295295067068163,0.8128717773695653,0.16108923050048635,0.815700428727697,0.012866137421297564,3,11.556074459348482,26.11316315357241,31.099416666666663,21.22925,0.0,9294.32625,70.80869821607811,3.3933383520394202,0.15782157278431747
TNP_0028,3653,5.281575272378868,0.8205200973744438,0.1677403520682583,0.824761992919618,0.022447303586093623,4,11.189364905557076,27.045131741034762,32.30525,21.788666666666668,0.0,12227.740833333333,71.67821425312529,3.271348092891687,0.16259373296505963
TNP_0029,3653,5.194127648508076,0.7908687591493785,0.15076340158732163,0.7930134539444403,0.012318642211880646,3,9.719515466739665,26.294269436079933,30.4605,23.187916666666666,0.0,8780.785416666668,77.2211114152751,3.561166621042066,0.11500782189202417
TNP_0030,3653,5.2999541910758285,0.8187838002155088,0.1624970902480756,0.8235388739963944,0.02025732274842595,4,9.208935121817683,28.26244547860206,32.37016666666666,23.75558333333333,0.0,15750.032083333334,72.22538484350761,3.8776518158591116,0.15546597960534483
