point_id,lat,lon,population,weight
TNP_0061,11.125,77.875,414226.78542870283,0.005815605324012047
TNP_0062,12.625,80.125,412132.4269834757,0.005786201232937041
TNP_0063,11.375,77.375,411676.414712131,0.00577979897338663
TNP_0064,10.625,77.125,409948.4459089637,0.005755538870165573
TNP_0065,12.625,79.375,409050.7556846142,0.005742935600093028
TNP_0066,11.625,78.875,398426.9544980228,0.005593780989827921
TNP_0067,12.125,78.375,397447.7478468418,0.005580033256426222
TNP_0068,10.125,77.625,388361.20780590177,0.005452461277747323
TNP_0069,12.125,79.375,387112.1581530571,0.005434925038984972
TNP_0070,10.375,78.125,383953.99539506435,0.005390585491675228
TNP_0071,12.375,79.125,380318.77103960514,0.005339548159326701
TNP_0072,11.125,79.375,377556.557136178,0.0053007676013137614
TNP_0073,12.375,78.125,376712.411831975,0.005288916083985441
TNP_0074,8.375,77.375,373703.33825439215,0.005246669698831898
TNP_0075,12.625,79.625,372911.4339413643,0.005235551627521791
TNP_0076,11.625,78.375,372498.05268216133,0.0052297478931027834
TNP_0077,11.875,77.875,371649.5389996022,0.005217835045205512
TNP_0078,12.375,78.625,369950.2013204098,0.005193976913375196
TNP_0079,10.625,77.375,367961.2143267989,0.005166052202187187
TNP_0080,10.375,79.375,365971.67549341917,0.005138119743353659
TNP_0081,10.625,79.125,361159.2509186268,0.005070554914223636
TNP_0082,12.625,78.125,360799.10471487045,0.005065498582152255
TNP_0083,12.375,79.875,359551.7668402195,0.005047986376182392
TNP_0084,12.875,78.625,356433.593002066,0.005004208259913081
TNP_0085,12.625,79.125,355228.05595360696,0.004987282923541952
TNP_0086,13.125,79.375,353338.442471683,0.004960753383173314
TNP_0087,9.375,78.875,353010.24430310726,0.004956145590815018
TNP_0088,10.125,78.875,350070.71990942955,0.004914875652908316
TNP_0089,11.375,77.125,348400.17650821805,0.004891421783096338
TNP_0090,12.375,79.375,345564.8446456194,0.004851614673427164
TNP_0091,11.875,78.125,338277.50642473996,0.004749302885667322
TNP_0092,11.875,79.875,331753.007565856,0.004657701107040268
TNP_0093,10.875,78.375,331288.6401773691,0.0046511815444436905
TNP_0094,11.375,76.875,329277.33425694704,0.004622943482998876
TNP_0095,8.625,78.125,328577.7085413933,0.004613120972289002
TNP_0096,9.875,77.875,321388.47564196587,0.0045121865503824085
TNP_0097,12.125,79.875,320211.4485657811,0.004495661484472723
TNP_0098,10.125,78.125,317831.90352889895,0.004462253469172853
TNP_0099,10.125,78.375,316057.0736576021,0.0044373354522511625
TNP_0100,11.375,79.375,315788.482935071,0.0044335645284700855
TNP_0101,11.625,79.125,312785.2295117378,0.0043913998563327745
TNP_0102,10.625,78.625,311437.63846439123,0.004372480129397615
TNP_0103,11.125,78.625,309087.12795975804,0.004339479749205534
TNP_0104,10.375,79.125,307193.6989862919,0.004312896640613625
TNP_0105,11.125,78.875,305830.6020783186,0.004293759216588885
TNP_0106,12.375,79.625,305810.3294095993,0.004293474595110306
TNP_0107,10.625,76.875,305741.92967784405,0.004292514285786646
TNP_0108,10.625,78.375,305614.69948893785,0.004290728016549585
TNP_0109,11.875,78.875,301935.04241657257,0.004239066863738236
TNP_0110,12.375,78.875,301079.89815589786,0.004227060924745104
TNP_0111,11.375,79.125,300073.306358099,0.004212928713057423
TNP_0112,11.125,77.625,294728.81712269783,0.004137893874305128
TNP_0113,10.375,78.375,292314.1716660261,0.0041039930608681415
TNP_0114,11.625,77.625,292060.09904256463,0.004100425966335229
TNP_0115,11.125,79.125,291553.82602107525,0.0040933180626874
TNP_0116,10.125,79.125,291410.35054147243,0.0040913037150102465
TNP_0117,10.625,78.875,287637.03817653656,0.0040383276732606265
TNP_0118,10.125,78.625,285961.020146966,0.00401479694150019
TNP_0119,9.125,77.875,284674.2646612525,0.003996731325473761
TNP_0120,9.625,78.625,283261.0585422516,0.003976890384910049
TNP_0121,9.875,78.375,283191.96407699585,0.00397592032176074
TNP_0122,11.625,78.625,282878.4148208797,0.003971518195226789
TNP_0123,9.625,78.125,281565.6825658679,0.003953087874060214
TNP_0124,9.125,77.625,276426.1651992798,0.003880930771691645
TNP_0125,8.125,77.625,272677.4193781018,0.0038282996359879327
TNP_0126,11.125,78.375,267273.30917078257,0.003752427738759686
TNP_0127,11.375,78.375,266237.5408079326,0.0037378858978712477
TNP_0128,10.625,77.625,263581.3604952693,0.0037005940159571564
TNP_0129,9.875,78.625,262651.0341567993,0.003687532545773679
TNP_0130,9.625,77.625,259478.05903168023,0.003642985037790817
TNP_0131,12.125,78.875,247235.19139759243,0.003471099276901917
TNP_0132,11.125,79.875,246425.969114542,0.0034597380670932693
TNP_0133,8.375,77.625,243750.06732301414,0.003422169302221541
