regime_id,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,valid,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,pred_useful_energy_kWh,pred_solar_fraction,pred_unmet_energy_kWh,pred_pump_energy_kWh,pred_pcm_mass_kg,predicted_feasible_proba,sim_useful_energy_kWh,sim_solar_fraction,sim_unmet_energy_kWh,sim_pump_energy_kWh,sim_residual_pct_of_collector,sim_pcm_mass_kg,sim_max_water_temp_C,sim_max_pcm_temp_C,sim_n_safety_violations,sim_mean_f_melt,surrogate_vs_sim_error_pct,large_surrogate_error,meets_temperature_safety,constraint_margin_C
1,n-Octacosane (C28),0.04337203740832701,10,0.016641058388283413,True,0.021686018704163507,0.008543938016190808,0.9914560619838092,7.680294095158412e-07,2.130137041278658e-11,14.045411165148476,1810.7934611670307,0.5301621355409079,1236.2992608674635,2.7133205040866768e-09,0.37897899832799214,0.9933333333333333,1810.4912658409182,0.5303152340477133,1235.900560973816,8.492501360740934e-11,3.406604606748867e-08,0.3887491797366818,70.33859479023988,70.29497479426507,540,0.01988421457960399,0.01669134404645337,False,False,-5.294974794265073
1,n-Octacosane (C28),0.04072092494928234,12,0.012922264070374903,True,0.02036046247464117,0.008485213348327763,0.9915147866516723,4.700804110622151e-07,1.012417201009388e-11,10.239999491167907,1810.7783664077715,0.5301599721159358,1236.3058619053902,2.7133205040866768e-09,0.3835887398681677,0.9766666666666667,1810.93189316329,0.5303018316247136,1235.9358273126556,4.0368729755234945e-11,4.3332927675890266e-08,0.38607720734891326,70.3330366413432,70.31250212037534,644,0.02043832615563973,0.008477776337036353,False,False,-5.312502120375342
1,n-Octacosane (C28),0.04194908718366549,13,0.017540911436399114,True,0.020974543591832744,0.010049385705662876,0.9899506142943372,1.0181909479675934e-06,2.976666207273803e-11,14.319186974189224,1810.733904714324,0.5301570428469604,1236.3160327118708,2.7133205040866768e-09,0.45995195959841567,0.9833333333333333,1810.766087931274,0.5301714569010012,1236.2788876072475,1.1869208445946478e-10,4.517395396078256e-08,0.45724704960766094,70.32470961211146,70.27298989483103,633,0.020398761554880424,0.001777326025956036,False,False,-5.272989894831028
1,n-Octacosane (C28),0.04099911952566035,15,0.0160746750396375,True,0.020499559762830175,0.010825387908854683,0.9891746120911453,9.353474400862375e-07,2.5059010247571796e-11,12.825089999925455,1810.7267580268156,0.5301415132533777,1236.3635136821179,2.7133205040866768e-09,0.47894372955167874,0.9866666666666667,1810.6839687462214,0.530107463018274,1236.4472773045395,9.992141119497771e-11,4.613374700002186e-08,0.49255514985288806,70.3081884161495,70.25687877124795,662,0.02060392330859065,0.002363155654591411,False,False,-5.256878771247955
1,n-Octacosane (C28),0.04390900677319308,13,0.014112328555366078,True,0.02195450338659654,0.011524784426102925,0.9884752155738971,7.724826098619084e-07,1.8169213989463204e-11,12.058574795038693,1810.716012224885,0.5301035680955584,1236.4702459044413,2.7133205040866768e-09,0.4945241446334603,0.9966666666666667,1810.1779332255867,0.5300671141676206,1236.5534488706028,7.244217027708087e-11,3.698072483958443e-08,0.5243776913876831,70.33637965882122,70.2118531659485,351,0.019759035073353734,0.029725199353161813,False,False,-5.211853165948497
1,RT64HC,0.04120395837034542,10,0.016996105315808363,True,0.02060197918517271,0.007325637715694309,0.9926743622843057,6.82758418744711e-07,1.9340389983733157e-11,13.62799741143533,1810.8659138390933,0.5301776740368829,1236.2638068521787,2.713320504086676e-09,0.3637326103978394,0.9783333333333334,1811.0108909893377,0.5302968660233466,1235.9488935007885,7.711658166186104e-11,4.2437809775331795e-08,0.3223280594905496,70.40645663995575,70.33477439511273,241,0.006918741069887218,0.008005316310668822,False,False,-5.334774395112731
1,RT64HC,0.042224982881072494,11,0.012183825915922873,True,0.021112491440536247,0.008672209276344827,0.9913277907236552,4.2757959134881046e-07,8.682592176992247e-12,10.011447089484152,1810.8546930889195,0.5301755324196649,1236.2683578513208,2.713320504086676e-09,0.3879262973498067,0.9766666666666667,1810.8606934262195,0.5301643788931863,1236.2975122560824,3.462087157323601e-11,4.40497662376949e-08,0.38157720815917245,70.42222709976905,70.22349744635085,152,0.006505067983724064,0.00033135278278709364,False,False,-5.223497446350848
1,RT64HC,0.0434373290004203,12,0.012419118076257663,True,0.02171866450021015,0.010299098240201757,0.9897009017597982,5.340687957751468e-07,1.1054439059293815e-11,10.497782188308433,1810.8189336136752,0.5301725976531119,1236.2803864083478,2.713320504086676e-09,0.4678767156408852,0.99,1810.6798128627129,0.5300046983427116,1236.7176861603994,4.4078961613393017e-11,4.6067126891991655e-08,0.45316032256887734,70.43553211695169,69.99139242647603,103,0.006310234645666161,0.007683343569306599,False,False,-4.991392426476025
1,RT64HC,0.04481309096076046,10,0.010818629994833287,True,0.02240654548038023,0.00942417449019061,0.9905758255098094,3.696601082970337e-07,6.6653598925260166e-12,9.434542761116198,1810.802802642134,0.5301519040896582,1236.3070436647536,2.713320504086676e-09,0.42816090712203875,0.9833333333333333,1810.3264344492209,0.5301149040782072,1236.4276973419512,2.6574789891513968e-11,3.5345861034931344e-08,0.4146636775683869,70.42475605749064,69.16850492868403,43,0.005912375861078752,0.02631393895864827,False,False,-4.16850492868403
1,RT64HC,0.043246752066901914,13,0.011029126144171748,True,0.021623376033450957,0.01101114444388424,0.9889888555561157,4.587571962216641e-07,8.432818311125473e-12,9.281930015857293,1810.7982042540268,0.530118819571889,1236.4143342409209,2.713320504086676e-09,0.48778967123633765,0.99,1810.600730762855,0.5299349056735961,1236.9013344393397,3.362539452564015e-11,4.6974089556356346e-08,0.4844903555309066,70.4401867469935,69.87156866389554,93,0.006271707614279707,0.010906517810178727,False,False,-4.871568663895545
1,n-Hexacosane (C26),0.0401140737812093,12,0.01827624980244398,True,0.02005703689060465,0.00811148129232327,0.9918885187076767,8.800983744055204e-07,2.680816290226694e-11,14.26683187983971,1810.7973687505034,0.5305771395327291,1235.250295261492,2.7133205040866764e-09,0.37186350044162586,0.967777777777778,1811.2266025483782,0.5307208826672449,1234.833161320304,1.0688489016215662e-10,4.365047057462969e-08,0.3122920297544459,70.41978384998126,70.41511665906265,2678,0.11728543022971308,0.023698514436063963,False,False,-5.415116659062647
1,n-Hexacosane (C26),0.04267998142874767,10,0.01947370660533182,True,0.021339990714373834,0.00814144106308146,0.9918585589369185,9.934684877009124e-07,3.224418975188379e-11,16.17396628584103,1810.787885590654,0.5306015596528354,1235.2056272659397,2.7133205040866764e-09,0.36823345715047295,0.967777777777778,1811.222080746546,0.5307288350945638,1234.8122357759883,1.2855937588489251e-10,4.365738862753978e-08,0.31344548092863617,70.4168183574227,70.41124259008045,2509,0.11675473223768996,0.023972496830041892,False,False,-5.411242590080448
1,n-Hexacosane (C26),0.0418173707707124,10,0.02005125405106794,True,0.0209086853853562,0.0076577077594478194,0.9923422922405521,9.878089597758029e-07,3.301134734397629e-11,16.317061567153353,1810.7823225061513,0.5306015596528354,1235.2056272659397,2.7133205040866764e-09,0.360103312149678,0.9644444444444445,1811.2607925289135,0.5307394775163439,1234.7842319402207,1.3161807582394586e-10,4.305749684056866e-08,0.29482174873874106,70.42439470777353,70.41931546853804,2589,0.11691995841105564,0.02641640699869172,False,False,-5.419315468538045
1,n-Hexacosane (C26),0.041687028267574436,8,0.020210988716808403,True,0.020843514133787218,0.0060690597806233645,0.9939309402193767,7.852930748378576e-07,2.6452582458226197e-11,16.395783899697946,1810.771820578817,0.5306492328124075,1235.0703754638769,2.7133205040866764e-09,0.3597433526273571,0.9711111111111113,1811.3860629307721,0.5307859615795695,1234.6619165406562,1.0546718105526986e-10,4.1113399937735496e-08,0.23365880155399954,70.44687211506191,70.44218280883386,2619,0.11685502125171947,0.033910073866937,False,False,-5.442182808833863
1,n-Hexacosane (C26),0.04390917717205873,8,0.01946551084820332,True,0.021954588586029364,0.007092257600152579,0.9929077423998475,8.549481949009199e-07,2.773667227082617e-11,16.63277810423373,1810.7624445536333,0.5306492328124075,1235.0703754638769,2.7133205040866764e-09,0.35961435364819766,0.9711111111111113,1810.9070970076066,0.5307389259970933,1234.785683175178,1.1056646553422947e-10,3.324654865451947e-08,0.27305191760587433,70.42302014861176,70.41706653652446,2416,0.11628971286537117,0.00798784510880484,False,False,-5.417066536524459
