case_id,regime_id,pcm_id,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,split
c3_n_Hexacosane__C26__lhs_003,3,n-Hexacosane (C26),lhs,20263941,0.045410410254389064,10,0.03461098108289828,sim_v1_tamilnadu,3.2916994094848633,True,,0.022705205127194532,0.009806067862992958,0.990193932137007,3.7271532844922494e-06,2.150007197043724e-10,30.585319715832096,3.056958427372745,True,tamilnadu,3.0,n-Hexacosane (C26),25.787,1817.4327045829727,0.5438570009595327,,1118.9102691231913,8.495036770050963e-10,1895.860409932229,78.66284620122082,8.938598377113356,8.944246756348273,3.331760708075726e-08,0.3775336127252289,70.30772205455081,70.29491289335695,4055.0,0.0,162.0,8784.0,holdout
c3_n_Hexacosane__C26__lhs_004,3,n-Hexacosane (C26),lhs,20263941,0.0279789380005378,13,0.020307000215006837,sim_v1_tamilnadu,1.3113021850585938e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c3_n_Hexacosane__C26__lhs_005,3,n-Hexacosane (C26),lhs,20263941,0.053073760775585954,22,0.011394504246949683,sim_v1_tamilnadu,3.2016000747680664,True,,0.026536880387792977,0.034442200176794925,0.9655577998232051,1.846257635600799e-06,3.506198411636097e-11,11.768442408033776,0.9919185073305172,True,tamilnadu,3.0,n-Hexacosane (C26),25.787,1815.8709326808032,0.5437951201177724,,1119.0620616738897,1.385196728321246e-10,1894.5158103476165,78.89005722097112,28.759480783072206,28.779338281040555,9.559100646698742e-08,1.3260247068066047,69.87406660591115,69.83703313765149,1340.0,0.0,136.0,8784.0,train
c3_n_Hexacosane__C26__lhs_006,3,n-Hexacosane (C26),lhs,20263941,0.03942274942556684,15,0.025947327957108954,sim_v1_tamilnadu,1.2159347534179688e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c3_n_Hexacosane__C26__lhs_007,3,n-Hexacosane (C26),lhs,20263941,0.06989380359453487,21,0.017630031611753777,sim_v1_tamilnadu,2.855611562728882,True,,0.034946901797267435,0.07508685917152366,0.9249131408284763,2.194640453876105e-05,6.448596763044899e-10,23.979242265402323,0.5739637012418497,True,tamilnadu,3.0,n-Hexacosane (C26),25.787,1811.82727007026,0.543160745297989,,1120.6181712750938,2.5475718895485927e-09,1890.792872571,79.2255815324336,55.245076094972326,55.28838757261667,3.0178563409625396e-07,2.890844078103661,70.13665728103727,68.48032495084091,79.0,0.0,74.0,8784.0,train
c3_n_Hexacosane__C26__bnd_dmin_fmin,3,n-Hexacosane (C26),boundary,0,0.02,16,0.01,sim_v1_tamilnadu,1.239776611328125e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c3_n_Hexacosane__C26__bnd_dmin_fmax,3,n-Hexacosane (C26),boundary,0,0.02,16,0.05,sim_v1_tamilnadu,4.291534423828125e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c3_n_Hexacosane__C26__bnd_dmax_fmin,3,n-Hexacosane (C26),boundary,0,0.08,16,0.01,sim_v1_tamilnadu,2.8312079906463623,True,,0.04,0.08578642339402529,0.9142135766059747,9.646162092929935e-06,1.6076936821549893e-10,15.568030585685188,0.5683656631193826,True,tamilnadu,3.0,n-Hexacosane (C26),25.787,1810.4119966018327,0.5420186862079159,,1123.419620922499,6.352265687158486e-10,1889.3187533494852,79.17082391764956,55.36202144055137,55.41150384546162,4.4190513773550185e-07,3.3027773006699737,70.61513889072742,64.66927670649449,0.0,0.0,39.0,8784.0,train
c3_n_Hexacosane__C26__bnd_dmax_fmax,3,n-Hexacosane (C26),boundary,0,0.08,16,0.05,sim_v1_tamilnadu,2.909116268157959,True,,0.04,0.08578642339402529,0.9142135766059747,0.00017926413952761594,1.4938678293967998e-08,77.84015292842594,0.5683656631193826,True,tamilnadu,3.0,n-Hexacosane (C26),25.787,1810.7711967225207,0.5425886688057731,,1122.0214642407009,5.902022815954574e-08,1889.7552419433746,79.2482309817306,59.66897579634505,59.71847098620141,4.953617884196059e-07,3.3027773006699737,70.39476938885645,67.29986959052553,32.0,0.0,55.0,8784.0,train
c3_n_Hexacosane__C26__bnd_nmin,3,n-Hexacosane (C26),boundary,0,0.05,8,0.030000000000000002,sim_v1_tamilnadu,3.270843505859375,True,,0.025,0.010471975511965978,0.989528024488034,2.988850618139812e-06,1.4944253090699062e-10,29.19005734815973,3.149765528504569,True,tamilnadu,3.0,n-Hexacosane (C26),25.787,1817.3886384500358,0.5438803115329007,,1118.8530887214852,5.904785734735011e-10,1895.8227677094244,78.66954280442701,9.202742612921881,9.208774285464752,3.392265696650362e-08,0.4031710572106902,70.29004234615736,70.27491466281182,2476.0,0.0,147.0,8784.0,train
