product,manufacturer,property,predicted_value,confidence,prediction_method,donor_1_actual_value,donor_1_manufacturer,donor_1_product,donor_1_weight,donor_2_actual_value,donor_2_manufacturer,donor_2_product,donor_2_weight,donor_3_actual_value,donor_3_manufacturer,donor_3_product,donor_3_weight
Paraffin/HDPE PCM2,Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM50,,Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM65,
PlusICE A52,PCM Products Ltd.,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
n-Tetracosane (C24),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
Paraffin/Expanded graphite (92% paraffin),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
Myristic acid (C14),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM50,,Yes,Pluss Advanced Technologies,savE® OM48,,Yes,Pluss Advanced Technologies,savE® OM55,
PureTemp 53,PureTemp,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
RT54HC,Rubitherm Technologies,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
RT55,Rubitherm Technologies,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM42,
n-Pentacosane (C25),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
Myristic acid/NBR-1.0,Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM42,
Myristic acid/NBR-0.5,Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM42,
Palmitic-stearic acid/Expanded graphite,Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM55,
RT57HC,Rubitherm Technologies,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM55,
n-Hexacosane (C26),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
PlusICE A58,PCM Products Ltd.,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,No,Pluss Advanced Technologies,savE® OM46,
PureTemp 58,PureTemp,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM42,
RT60,Rubitherm Technologies,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM42,
n-Heptacosane (C27),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
CrodaTherm 60,CrodaTherm,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM55,
Palmitic acid/Expanded graphite (80/20),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM42,
PureTemp 60,PureTemp,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM50,,Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM65,
RT65,Rubitherm Technologies,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM42,
n-Octacosane (C28),Literature,flammability,No,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
PlusICE A62,PCM Products Ltd.,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,No,Pluss Advanced Technologies,savE® OM46,,Yes,Pluss Advanced Technologies,savE® OM42,
RT62HC,Rubitherm Technologies,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
Palmitic acid (C16),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM50,,Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM48,
PureTemp 63,PureTemp,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM55,
RT64HC,Rubitherm Technologies,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM55,
n-Nonacosane (C29),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
n-Triacontane (C30),Literature,flammability,No,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,No,Pluss Advanced Technologies,savE® OM46,
Stearic acid (C18),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM50,,No,Pluss Advanced Technologies,savE® OM46,,Yes,Pluss Advanced Technologies,savE® OM65,
PureTemp 68,PureTemp,flammability,No,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM42,,Yes,Pluss Advanced Technologies,savE® OM65,
n-Hentriacontane (C31),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM50,,Yes,Pluss Advanced Technologies,savE® OM42,,No,Pluss Advanced Technologies,savE® OM46,
RT69HC,Rubitherm Technologies,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM55,
n-Dotriacontane (C32),Literature,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM55,,Yes,Pluss Advanced Technologies,savE® OM42,
RT70HC,Rubitherm Technologies,flammability,Yes,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),No,Pluss Advanced Technologies,savE® OM49,,Yes,Pluss Advanced Technologies,savE® OM65,,Yes,Pluss Advanced Technologies,savE® OM55,
RT42,Rubitherm Technologies,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
RT44HC,Rubitherm Technologies,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
RT47,Rubitherm Technologies,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,
n-Docosane (C22),Literature,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
Lauric acid (C12),Literature,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White color waxy solid @25°C,Pluss Advanced Technologies,savE® OM50,,White waxy solid @25°C,Pluss Advanced Technologies,savE® OM48,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,
RT45HC,Rubitherm Technologies,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,
n-Tricosane (C23),Literature,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
RT50,Rubitherm Technologies,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,
Paraffin/Expanded graphite (85.56% paraffin),Literature,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White waxy solid @25°C,Pluss Advanced Technologies,savE® OM48,,White waxy solid @25°C,Pluss Advanced Technologies,savE® OM46,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,
Paraffin/HDPE PCM3,Literature,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White color waxy solid @25°C,Pluss Advanced Technologies,savE® OM50,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
PlusICE A50,PCM Products Ltd.,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
Paraffin/HDPE PCM6,Literature,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White color waxy solid @25°C,Pluss Advanced Technologies,savE® OM50,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
Paraffin/HDPE PCM2,Literature,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White color waxy solid @25°C,Pluss Advanced Technologies,savE® OM50,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
PlusICE A52,PCM Products Ltd.,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
n-Tetracosane (C24),Literature,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
Paraffin/Expanded graphite (92% paraffin),Literature,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
Myristic acid (C14),Literature,appearance,White color waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White color waxy solid @25°C,Pluss Advanced Technologies,savE® OM50,,White waxy solid @25°C,Pluss Advanced Technologies,savE® OM48,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,
PureTemp 53,PureTemp,appearance,White color waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
RT54HC,Rubitherm Technologies,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
RT55,Rubitherm Technologies,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,
n-Pentacosane (C25),Literature,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
Myristic acid/NBR-1.0,Literature,appearance,White solid @25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,
Myristic acid/NBR-0.5,Literature,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,
Palmitic-stearic acid/Expanded graphite,Literature,appearance,White solid @25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,
RT57HC,Rubitherm Technologies,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,
n-Hexacosane (C26),Literature,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
PlusICE A58,PCM Products Ltd.,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy solid @25°C,Pluss Advanced Technologies,savE® OM46,
PureTemp 58,PureTemp,appearance,White color waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,
RT60,Rubitherm Technologies,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,
n-Heptacosane (C27),Literature,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
CrodaTherm 60,CrodaTherm,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,
Palmitic acid/Expanded graphite (80/20),Literature,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,
PureTemp 60,PureTemp,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White color waxy solid @25°C,Pluss Advanced Technologies,savE® OM50,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
RT65,Rubitherm Technologies,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,
n-Octacosane (C28),Literature,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
PlusICE A62,PCM Products Ltd.,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White waxy solid @25°C,Pluss Advanced Technologies,savE® OM46,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,
RT62HC,Rubitherm Technologies,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
Palmitic acid (C16),Literature,appearance,White color waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White color waxy solid @25°C,Pluss Advanced Technologies,savE® OM50,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White waxy solid @25°C,Pluss Advanced Technologies,savE® OM48,
PureTemp 63,PureTemp,appearance,White color waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,
RT64HC,Rubitherm Technologies,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,
n-Nonacosane (C29),Literature,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
n-Triacontane (C30),Literature,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy solid @25°C,Pluss Advanced Technologies,savE® OM46,
Stearic acid (C18),Literature,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White color waxy solid @25°C,Pluss Advanced Technologies,savE® OM50,,White waxy solid @25°C,Pluss Advanced Technologies,savE® OM46,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
PureTemp 68,PureTemp,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,
n-Hentriacontane (C31),Literature,appearance,White waxy solid @25°C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White color waxy solid @25°C,Pluss Advanced Technologies,savE® OM50,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,,White waxy solid @25°C,Pluss Advanced Technologies,savE® OM46,
RT69HC,Rubitherm Technologies,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,
n-Dotriacontane (C32),Literature,appearance,White waxy Solid @25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,,White solid @25°C,Pluss Advanced Technologies,savE® OM42,
RT70HC,Rubitherm Technologies,appearance,White flakes at 25 °C,Standard,Random Forest classifier (nearest known-label PCMs shown as evidence),White flakes at 25 °C,Pluss Advanced Technologies,savE® OM49,,White waxy Solid @25 °C,Pluss Advanced Technologies,savE® OM65,,White solid @25 °C,Pluss Advanced Technologies,savE® OM55,
