point_id,Ta_mean,Ta_p95,Ta_p05,DTR,HDD18,CDD24,GHI_mean,GHI_daily_kWh_est,kt_mean,kt_std,kt_worst_month,SAI,cloudy_frac,CCI,RH_mean,HSI,wind_mean,elev_proxy,monsoon_index,seasonality,Tm_target,T_mains_est,L_required_kWh,tm_target_capped_flag,Tm_target_capped_C
ASP_0019,25.90367437432813,33.007861328125024,16.38159179687502,5.917561202906858,69.7295925191543,1162.36278021453,221.08821699060135,3.987853505338078,0.7257429834891586,0.2307568168699943,0.5590003629797722,0.9389542841500136,0.0417921343188247,0.8790808386743658,78.35179658015976,32.58759821264423,1.480216183198484,0.9864754405323686,0.6420809761082575,0.0595216757536052,44.0,19.90367437432813,3.4995338630295127,True,39.84229014256703
ASP_0020,25.72335892900173,33.28027343750003,15.772882080078148,5.93828726663284,88.40332589722439,1133.3573860091235,220.612907199562,3.970035480427046,0.753480570771092,0.2387175833396033,0.6036026698395821,0.9299206131946346,0.0307509809289168,0.8933410408211926,78.90467131275125,32.14074758099476,1.353362524671025,0.9865699288498252,0.6432405745752139,0.0636027552102247,44.0,19.72335892900173,3.5205005423110767,True,40.36451860066338
ASP_0021,26.544316998723783,33.17910156250002,16.64941406250002,6.263067596878315,60.17980647051792,1310.607443087772,235.29543845241355,4.256486227758007,0.7741848909245568,0.2462186958889084,0.6051471166875037,0.9378592937311798,0.039419655078018,0.8813240710288635,76.85093199905647,30.0980199050963,1.3349294480701783,0.9922735532892748,0.5682473098181046,0.0656975397837874,44.0,20.544316998723783,3.4250413623150626,True,40.18867555165083
ASP_0022,26.05753774878776,33.21542968750002,16.01824951171877,6.511159291699459,77.53041429329004,1207.2262855452566,220.96203120722697,3.987641725978648,0.7269241429261116,0.2303251200925241,0.5601529813280482,0.9389542841500136,0.0418833835203941,0.8777360307277897,78.11635255888098,32.40413712315657,1.278173522630367,0.9839578121907492,0.6850689080306986,0.0574457512709586,44.0,20.05753774878776,3.481642971765956,True,39.88363476343058
ASP_0023,25.643117979536854,32.92373046875002,14.929470825195336,6.718190274367814,117.67506324022376,1138.103053297899,217.18088055479515,3.896476992882562,0.7269289829412303,0.2392529431522884,0.5676464158585938,0.9321105940323022,0.0401496486905739,0.8800376230675295,79.85117542417764,36.24962110915994,1.2324644910987728,0.9787103549742532,0.7307194629878352,0.0639689356114939,44.0,19.643117979536854,3.529830781601631,True,39.977693336669645
ASP_0024,25.733941444322504,32.850756835937524,14.65086364746096,6.631014928601064,128.9414113827667,1173.6543466659425,230.5355532564785,3.8480721708185057,0.6950144294164781,0.262185666328241,0.583498245990812,0.9184232137968792,0.1457249749064695,0.7922319355277325,74.5595608996318,27.384089115888127,1.5272823835241325,0.9893979996378962,0.7150140704209151,0.0837927249718154,44.0,19.733941444322504,3.5192700309462777,True,41.069181516031136
ASP_0025,25.65924256111828,32.965039062500026,15.042919921875024,6.767771856901647,113.74243264270012,1137.578605030733,221.2400437996168,3.987989911032028,0.7217059745328094,0.2305188359669018,0.5585524843142025,0.9389542841500136,0.0416096359156857,0.8805363164693516,73.16750291857586,21.89216553244003,1.3506315801978772,0.9854447213848144,0.6522437708459812,0.0630770832382208,44.0,19.65924256111828,3.527955851087748,True,39.85377051735853
ASP_0026,23.82976102845516,30.968676757812524,12.624829101562524,6.980174735314938,216.27380274687155,744.841693955663,240.16035063528025,3.998879786476868,0.7215259539677277,0.2431931617057228,0.578136988296077,0.9375855461264714,0.1214526872889862,0.7970313258256592,74.44732596909274,27.25455532329593,1.3083880771617995,0.952480010946921,0.7082052937082959,0.0612248367870486,44.0,17.82976102845516,3.7406838981912975,True,39.99156525475562
ASP_0027,26.461200287564218,33.196484375000026,15.720538330078147,6.798235241889692,84.18091522559244,1312.9639210406306,234.1577041700885,4.258727526690391,0.7513600654362511,0.2364004551083855,0.580231522240227,0.9378592937311798,0.0422483803266721,0.8756400101537948,76.55627622287217,30.597361972459176,1.0587359108245822,0.9876289025694024,0.5950948205129731,0.0642306736046858,44.0,20.461200287564218,3.434705988784894,True,40.00539157953074
ASP_0028,25.67535578388948,32.90834960937502,14.622720336914089,6.664886424484692,130.2776780427913,1161.5565571657369,231.40662227483477,3.845453451957295,0.6979226618983179,0.2651102728425902,0.5861875923340204,0.9184232137968792,0.1460899717127475,0.7904459011522056,73.68442278427621,25.0724712622106,1.610031128373384,0.9883864319244934,0.7286242581231448,0.0861910706215242,44.0,19.67535578388948,3.526082241351073,True,41.066286125945545
ASP_0029,25.92720448246556,32.90859375000002,15.914248657226588,5.74126294185911,82.549874464818,1182.1934523842797,229.8348512608353,3.847287615658364,0.6966675058038909,0.2589676896842234,0.5800339420190586,0.9184232137968792,0.1435349940688019,0.7931987063153326,78.78437306737756,33.54392597247775,1.8047842137643837,0.9893789961699088,0.5846336598984011,0.0833020651430869,44.0,19.92720448246556,3.496797834344421,True,40.97431768927952
ASP_0030,25.556974767835857,33.35473632812502,15.661669921875024,5.638530807432462,88.5294937250739,1090.3424362186847,219.22096541655264,3.972403238434164,0.7380033745827295,0.2484319496785467,0.599874554326476,0.9299206131946346,0.0375946710466283,0.8840969303316415,80.7433305561311,36.05047143089237,1.3441765350293864,0.9853388481506682,0.6045020320589592,0.0606462850411853,44.0,19.556974767835857,3.539847322828864,True,40.54810072011456
ASP_0031,25.94385950015579,33.05810546875002,16.407641601562524,6.189273294343904,64.7616906379883,1163.9708722532064,221.44193904553336,3.987453523131672,0.7314838574947979,0.2317996351437405,0.5663337431500488,0.9389542841500136,0.0409708915046993,0.8796818483240866,77.37854324476865,29.831585473961816,1.4162101901073898,0.9808894971198078,0.7017489259077861,0.0576733294038743,44.0,19.94385950015579,3.494861225898552,True,39.92339101181692
ASP_0032,26.202602375544668,33.513232421875024,16.245434570312522,6.4084374746034936,72.81535092867269,1274.4200238286116,238.49720719834792,3.9996497153024912,0.7233015518246122,0.2395167205793301,0.5582653066300721,0.9375855461264714,0.1209051920795693,0.788633661569176,74.83393110891609,24.03644835326076,1.831157131288648,0.9965692437209664,0.6278894739101626,0.0647476763079032,44.0,20.202602375544668,3.4647751793325003,True,39.9391547401428
ASP_0033,24.607191689086903,31.560595703125024,14.396533203125022,6.267573856047791,138.42986854659637,876.7390158005085,222.2897800894242,3.987243683274021,0.7262801557432673,0.2325747639991949,0.5698231112290106,0.9389542841500136,0.0408796423031298,0.8831134705162594,75.22912488673268,24.726280485629264,1.2825181087767508,0.9687344257785456,0.707776867302149,0.0628225888467544,44.0,18.607191689086903,3.6502859885967287,True,39.82235388208856
ASP_0034,26.18790888152363,33.09082031250002,16.41528320312502,5.64846881957306,67.44313061638657,1239.548032610774,228.88742081447964,3.848340195729537,0.692741330191686,0.2566633137758396,0.5722809024805909,0.9184232137968792,0.1428962496578155,0.7948964545018413,78.01147519212745,31.76267928709487,1.8270642180320733,0.99141466467061,0.5716504305895632,0.0810514999555398,44.0,20.18790888152363,3.466483706165058,True,40.90266478836055
ASP_0035,26.226350339480025,33.42563476562502,16.502661132812523,6.254013550239101,65.79858442087681,1270.7249599938248,240.480527043032,3.98707537366548,0.7379143569902004,0.2342119389279881,0.5760712492216346,0.9389542841500136,0.1169814764120814,0.7850873337586566,75.6443344391315,26.326078250830143,1.7687513118223817,0.9958297797462548,0.6602349335056392,0.0629677131969516,44.0,20.226350339480025,3.4620138188593503,True,40.1017932905099
ASP_0036,25.04260482864668,32.972851562500026,15.199340820312525,5.846974696324618,110.09878856743433,971.81962627638,210.53040605894697,3.8055293772241994,0.7104996657953326,0.2776271133322009,0.578484084216838,0.8768135778811935,0.0610457158499863,0.8531825959343411,78.50065313625292,34.1251128333889,1.181771587770904,0.9788798994114888,0.5537434501845163,0.0746014839729828,44.0,19.04260482864668,3.5996571163134727,True,40.47758940750793
ASP_0037,26.41085643112167,33.44775390625002,16.448052978515648,6.074132360108023,67.13948728705965,1305.4694393702082,240.1821303876122,3.998037722419929,0.7348223218981813,0.2462549182915023,0.5867423272840476,0.9375855461264714,0.1218176840952641,0.7920644414262814,76.77587994059077,29.970546070430448,1.8077871808040784,0.9936421530558114,0.6663340098322604,0.0682814773620274,44.0,20.41085643112167,3.440559860536797,True,40.45546929192548
ASP_0038,23.619260690882125,30.710180664062523,12.472363281250024,7.0272328491378016,225.1214512296341,701.0610677306157,239.40379748081088,3.997922224199288,0.7178791544263196,0.2407480222859523,0.5686200428302837,0.9375855461264714,0.1215439364905557,0.7928567815684398,74.22244469561679,27.05709157395648,1.3502890714495517,0.9491068530035928,0.7062201272028957,0.0617124882776387,44.0,17.619260690882125,3.765160409665761,True,39.76250261037276
ASP_0039,23.951088796678803,30.942431640625024,13.295458984375024,6.604744657176571,188.0559805789897,748.6160340474968,240.92256630188305,3.998669412811388,0.7254278909827949,0.2469991289280983,0.5856782513410911,0.9375855461264714,0.1222739301031115,0.7992606157653408,73.9899140977912,24.845595755075426,1.2469869575167662,0.9524960624508928,0.7347234542853142,0.0621967929709577,44.0,17.951088796678803,3.7265761749195145,True,40.13768900989346
ASP_0040,25.37249759813658,33.27917480468752,15.394824218750024,5.804372449656104,98.85150031573458,1049.804206303044,198.28378319189704,3.61482846975089,0.6609188766705424,0.2659157827443116,0.5218940858075529,0.866958664111689,0.0753718404963956,0.8362589211452266,79.44773666213865,34.797804177230184,1.1921911858857706,0.9837664623983609,0.6089502761715939,0.0710930508055634,44.0,19.37249759813658,3.56129791817223,True,40.08169063234396
ASP_0041,25.444379691336238,32.601245117187524,14.959527587890648,6.6539430615675474,116.16541231553695,1078.8020270823051,221.78011314900996,3.987441192170819,0.7247328971503716,0.2317700297464101,0.5638339982155808,0.9389542841500136,0.0401496486905739,0.8833812668583196,72.87079398635102,20.26072719010964,1.392211004974818,0.9809473978465414,0.6857566581466732,0.0634841189660702,44.0,19.444379691336238,3.552939628112959,True,39.88044245203267
ASP_0042,25.46502743245957,33.46215820312502,15.454174804687524,5.854019244403145,96.7417248378926,1076.0513814897483,208.9910302034857,3.802812864768683,0.6750542164799271,0.2975797077515378,0.542153586551693,0.8773610730906105,0.0834017702345104,0.8386846364228989,75.99969466236743,29.87559855876256,1.1086294027774612,0.9851188500025,0.5507235929498345,0.0796345729845256,44.0,19.46502743245957,3.550538754659006,True,40.35094564289429
